Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,overall_Income
Male,Yes,0,Graduate,No,160.0,360,Yes,Semiurban,N,8334
Male,Yes,3,Graduate,No,128.0,180,Yes,Urban,Y,7740
Male,Yes,0,Graduate,No,153.0,360,Yes,Rural,Y,5203
Female,No,1,Not Graduate,No,132.0,360,Yes,Semiurban,Y,5191
Male,No,0,Graduate,No,98.0,360,No,Semiurban,N,4166
Male,No,0,Graduate,No,140.0,360,Yes,Rural,Y,6000
Male,Yes,3,Not Graduate,No,70.0,180,No,Urban,N,4611
Male,Yes,0,Graduate,No,110.0,360,Yes,Semiurban,Y,16692
Female,Yes,2,Not Graduate,No,98.0,360,Yes,Semiurban,Y,3127
Male,Yes,0,Graduate,No,110.0,360,Yes,Urban,N,6784
Male,Yes,1,Graduate,Yes,162.0,360,Yes,Semiurban,Y,5529
Male,Yes,1,Not Graduate,No,113.0,180,No,Rural,N,4153
Male,Yes,3,Graduate,No,100.0,360,Yes,Semiurban,Y,4691
Male,No,2,Graduate,No,162.0,360,Yes,Rural,Y,10180
Male,Yes,2,Graduate,Yes,150.0,360,Yes,Rural,Y,17539
Male,Yes,2,Graduate,No,230.0,300,Yes,Semiurban,Y,8450
Male,Yes,2,Graduate,No,132.0,360,No,Semiurban,N,4745
Male,Yes,1,Graduate,Yes,86.0,360,Yes,Semiurban,Y,18917
Female,No,0,Not Graduate,No,154.0,360,Yes,Rural,Y,4350
Male,Yes,3,Not Graduate,No,113.0,360,Yes,Rural,Y,3095
Male,Yes,0,Graduate,No,128.0,360,Yes,Semiurban,Y,5233
Male,Yes,0,Graduate,No,234.0,360,Yes,Semiurban,Y,10833
Male,Yes,2,Graduate,No,246.0,360,Yes,Semiurban,Y,8333
Male,Yes,1,Not Graduate,No,131.0,360,Yes,Rural,Y,4394
Male,No,2,Graduate,No,80.0,360,No,Rural,N,3547
Male,Yes,1,Graduate,No,500.0,360,Yes,Urban,N,18333
Male,Yes,2,Graduate,Yes,160.0,360,Yes,Semiurban,Y,6666
Male,No,0,Graduate,No,75.0,360,Yes,Urban,N,2435
Male,No,0,Not Graduate,No,110.0,360,Yes,Rural,Y,3691
Female,No,0,Not Graduate,Yes,225.0,360,Yes,Semiurban,Y,17263
Male,Yes,0,Graduate,No,119.0,360,No,Rural,N,5754
Female,Yes,1,Graduate,No,105.0,84,Yes,Semiurban,Y,4239
Male,Yes,0,Not Graduate,No,107.0,360,Yes,Rural,Y,4300
Male,Yes,1,Graduate,Yes,95.0,360,Yes,Semiurban,Y,2895
Male,No,0,Graduate,No,209.0,360,No,Rural,N,10699
Female,No,0,Graduate,No,113.0,480,Yes,Rural,Y,4328
Female,No,0,Graduate,No,100.0,360,Yes,Semiurban,Y,3159
Male,Yes,2,Graduate,No,208.0,360,Yes,Semiurban,Y,10489
Male,Yes,0,Not Graduate,No,124.0,300,Yes,Semiurban,Y,5297
Male,Yes,2,Graduate,No,243.0,360,Yes,Rural,Y,7926
Male,No,0,Graduate,No,96.0,360,Yes,Urban,N,3583
Male,Yes,0,Graduate,Yes,188.0,360,Yes,Urban,Y,5492
Female,No,1,Graduate,No,40.0,360,Yes,Urban,Y,13262
Male,No,0,Not Graduate,No,100.0,360,Yes,Rural,N,4885
Male,Yes,1,Graduate,No,250.0,360,Yes,Semiurban,Y,8069
Male,Yes,2,Graduate,No,148.0,360,Yes,Urban,Y,5318
Male,Yes,0,Graduate,No,70.0,180,Yes,Semiurban,N,8796
Male,No,0,Graduate,No,311.0,360,Yes,Rural,N,9481
Male,Yes,3,Graduate,No,150.0,360,Yes,Rural,Y,6894
Female,Yes,2,Graduate,No,113.0,480,Yes,Semiurban,Y,3663
Male,No,0,Graduate,No,185.0,360,Yes,Semiurban,N,6598
Female,No,0,Not Graduate,No,95.0,360,Yes,Rural,N,3400
Male,Yes,2,Not Graduate,No,45.0,360,Yes,Semiurban,Y,3934
Male,No,0,Graduate,No,55.0,360,Yes,Semiurban,Y,2500
Male,Yes,3,Graduate,Yes,100.0,360,Yes,Rural,Y,7101
Male,Yes,2,Graduate,Yes,480.0,360,Yes,Rural,Y,15114
Male,Yes,2,Graduate,Yes,400.0,360,Yes,Rural,Y,17500
Male,Yes,0,Graduate,No,110.0,360,Yes,Semiurban,Y,3775
Male,Yes,1,Not Graduate,No,161.0,360,No,Semiurban,Y,6715
Male,No,1,Not Graduate,No,94.0,360,Yes,Semiurban,Y,3981
Male,No,0,Not Graduate,No,130.0,360,Yes,Semiurban,Y,6783
Male,Yes,3,Graduate,No,100.0,360,Yes,Urban,Y,4281
Male,No,2,Graduate,No,110.0,360,No,Rural,N,3588
Female,No,0,Not Graduate,Yes,125.0,360,Yes,Urban,Y,18165
Male,No,0,Not Graduate,No,126.0,360,Yes,Rural,Y,4592
Male,Yes,0,Graduate,No,324.0,360,Yes,Urban,Y,10039
Male,No,2,Graduate,No,107.0,360,Yes,Semiurban,Y,3617
Male,Yes,0,Not Graduate,No,66.0,360,Yes,Rural,N,3453
Male,Yes,3,Graduate,No,157.0,180,Yes,Rural,Y,6417
Female,Yes,1,Graduate,No,140.0,180,Yes,Semiurban,Y,7453
Female,No,0,Graduate,No,99.0,360,No,Semiurban,N,2138
Female,No,1,Graduate,No,95.0,360,Yes,Semiurban,Y,3652
Male,Yes,1,Not Graduate,No,128.0,360,Yes,Urban,Y,4763
Male,Yes,0,Graduate,No,155.0,360,Yes,Rural,Y,4718
Male,No,0,Not Graduate,No,80.0,36,Yes,Semiurban,N,3358
Male,No,0,Graduate,No,145.0,360,Yes,Rural,Y,4309
Female,No,0,Graduate,No,103.0,360,No,Semiurban,N,5000
Male,Yes,0,Graduate,No,110.0,360,Yes,Rural,Y,4801
Male,Yes,1,Graduate,No,158.0,360,Yes,Urban,Y,6583
Male,Yes,0,Not Graduate,No,181.0,360,No,Urban,N,4787
Male,Yes,0,Graduate,No,132.0,180,No,Rural,N,7859
Male,Yes,1,Graduate,No,26.0,360,Yes,Semiurban,Y,6500
Male,Yes,3,Graduate,Yes,260.0,360,Yes,Semiurban,Y,10139
Male,Yes,0,Graduate,No,162.0,360,Yes,Semiurban,Y,6556
Female,Yes,0,Graduate,No,182.0,360,Yes,Semiurban,Y,6486
Male,Yes,2,Not Graduate,No,108.0,360,Yes,Semiurban,Y,3917
Female,Yes,1,Graduate,Yes,600.0,360,Yes,Semiurban,Y,19484
Male,Yes,0,Graduate,No,211.0,360,Yes,Rural,Y,7977
Male,No,0,Not Graduate,Yes,132.0,360,Yes,Semiurban,Y,5800
Male,Yes,2,Graduate,No,258.0,360,No,Urban,N,8799
Male,No,0,Graduate,No,70.0,360,Yes,Urban,Y,3333
Male,Yes,3,Graduate,No,123.0,360,No,Rural,N,5900
Female,No,0,Graduate,No,9.0,360,Yes,Urban,N,2378
Male,Yes,0,Graduate,No,104.0,360,No,Urban,N,5230
Male,Yes,1,Graduate,No,186.0,360,Yes,Urban,Y,5167
Male,Yes,2,Graduate,No,275.0,360,Yes,Urban,Y,16666
Male,Yes,2,Not Graduate,No,187.0,480,Yes,Semiurban,N,7750
Male,Yes,3,Graduate,No,150.0,360,Yes,Semiurban,N,6406
Male,Yes,2,Graduate,No,108.0,84,Yes,Urban,Y,3620
Male,Yes,0,Graduate,No,136.0,360,No,Semiurban,N,5297
Male,No,0,Graduate,No,110.0,360,Yes,Urban,Y,5968
Male,Yes,1,Graduate,No,107.0,360,Yes,Rural,Y,4014
Male,No,0,Graduate,No,161.0,360,Yes,Urban,Y,6099
Male,Yes,2,Graduate,No,205.0,360,Yes,Semiurban,Y,6540
Male,No,0,Graduate,No,90.0,360,Yes,Urban,N,35673
Female,Yes,0,Graduate,No,36.0,360,Yes,Semiurban,Y,3166
Male,Yes,1,Graduate,No,146.0,360,No,Rural,N,4704
Male,Yes,1,Graduate,No,172.0,84,Yes,Rural,N,7283
Male,Yes,0,Graduate,No,104.0,360,Yes,Urban,Y,3819
Female,No,0,Not Graduate,No,70.0,360,Yes,Semiurban,Y,2165
Male,No,0,Graduate,No,94.0,360,Yes,Semiurban,Y,4750
Male,Yes,2,Graduate,Yes,106.0,360,No,Semiurban,N,2726
Male,Yes,0,Graduate,No,56.0,180,Yes,Semiurban,Y,6416
Male,Yes,2,Graduate,Yes,205.0,240,Yes,Semiurban,N,6000
Male,No,3,Graduate,Yes,292.0,360,Yes,Semiurban,Y,9357
Male,Yes,0,Graduate,No,142.0,180,Yes,Rural,Y,7159
Male,Yes,0,Graduate,Yes,260.0,360,Yes,Urban,Y,16120
Male,No,0,Not Graduate,No,110.0,360,Yes,Rural,Y,3833
Male,Yes,2,Not Graduate,Yes,187.0,360,Yes,Rural,N,7383
Male,Yes,0,Graduate,Yes,180.0,360,Yes,Rural,Y,9963
Male,Yes,2,Graduate,No,192.0,360,Yes,Urban,Y,5780
Male,Yes,0,Not Graduate,No,155.0,360,Yes,Rural,Y,5686
Male,Yes,3,Graduate,No,128.0,360,Yes,Urban,Y,5703
Male,No,0,Graduate,No,172.0,360,Yes,Rural,Y,7977
Female,Yes,1,Graduate,No,496.0,360,Yes,Semiurban,Y,12000
Male,Yes,1,Graduate,No,173.0,360,Yes,Semiurban,Y,5900
Male,Yes,2,Not Graduate,No,157.0,360,Yes,Rural,Y,5398
Male,Yes,0,Graduate,No,108.0,360,Yes,Rural,Y,5182
Female,No,0,Graduate,No,71.0,360,Yes,Rural,Y,2900
Male,Yes,3,Graduate,No,40.0,180,Yes,Rural,Y,4106
Male,Yes,1,Graduate,No,253.0,360,Yes,Urban,Y,8312
Male,Yes,2,Graduate,No,187.0,360,Yes,Urban,Y,7583
Female,No,0,Graduate,Yes,133.0,360,No,Semiurban,N,4583
